Height,Weight,Age,Gender,Muscule,Movement,TimeStamp,signal
189,70,20,1,3,0,2023-05-03T21:44:35.1466197+03:00,"[47, 35, 41, 44, 23, 38, 29, 41, 38, 32, 23, 38, 32, 29, 32, 35, 38, 38, 26, 35, 35, 41, 74, 149, 56, 113, 89, 89, 122, 59, 62, 119, 80, 77, 74, 65, 95, 89, 86, 74, 62, 77, 77, 80, 83, 83, 59, 65, 86, 56, 77, 89, 41, 71, 77, 98, 50, 74, 65, 86, 41, 62, 62, 65, 62, 59, 38, 89, 77, 47]"
189,70,20,1,3,0,2023-05-03T21:44:40.1387722+03:00,"[32, 41, 26, 32, 35, 38, 38, 35, 32, 32, 32, 32, 29, 41, 41, 35, 35, 47, 32, 35, 38, 77, 71, 47, 80, 128, 77, 74, 68, 92, 149, 59, 77, 47, 95, 68, 74, 131, 53, 86, 95, 62, 104, 59, 95, 56, 110, 71, 113, 65, 74, 62, 71, 86, 83, 56, 128, 83, 53, 62, 56, 65, 65, 71, 68, 65, 41, 65, 50, 71, 68, 74, 62]"
189,70,20,1,3,0,2023-05-03T21:44:45.4416852+03:00,"[35, 35, 38, 44, 35, 32, 38, 29, 29, 38, 38, 29, 50, 32, 35, 32, 38, 44, 83, 44, 92, 59, 92, 44, 74, 44, 50, 71, 56, 119, 68, 74, 71, 74, 92, 65, 59, 98, 77, 86, 71, 80, 50, 83, 119, 89, 77, 80, 98, 50, 119, 89, 110, 59, 89, 38, 65, 68, 89, 65, 71, 53, 44, 83, 53, 95, 38, 47, 134, 50, 50]"
189,70,20,1,3,0,2023-05-03T21:44:52.7477295+03:00,"[35, 38, 38, 35, 35, 35, 35, 32, 32, 26, 35, 32, 32, 35, 44, 53, 38, 32, 35, 35, 44, 38, 41, 41, 41, 47, 38, 44, 35, 44, 35, 41, 38, 41, 35, 35, 35, 35, 35, 41, 38, 29, 47, 50, 41, 44, 56, 68, 41, 29, 50, 59, 38, 47, 71, 83, 83, 110, 146, 50, 95, 98, 80, 92, 92, 89, 62, 47, 89, 101, 32, 131, 41, 74, 44, 95, 53, 50, 113, 53, 83, 59, 119, 50, 149, 50, 59, 74, 128, 89, 59, 77, 53, 74, 68, 44, 44, 80, 47, 53, 56]"
189,70,20,1,3,0,2023-05-03T21:44:57.5912321+03:00,"[35, 41, 35, 41, 38, 35, 32, 35, 38, 29, 38, 44, 38, 32, 35, 38, 32, 44, 32, 47, 29, 41, 47, 47, 35, 35, 32, 38, 32, 50, 50, 47, 98, 47, 71, 149, 89, 80, 95, 95, 71, 65, 68, 56, 59, 65, 65, 56, 89, 41, 50, 95, 50, 89, 50, 59, 56, 50, 86, 47, 77, 56, 50, 50, 56, 65, 62, 47, 56, 50, 71, 38]"
189,70,20,1,3,0,2023-05-03T21:45:05.9352598+03:00,"[32, 32, 50, 47, 44, 47, 29, 29, 38, 47, 38, 29, 38, 41, 35, 41, 35, 38, 38, 41, 47, 44, 29, 44, 53, 41, 38, 41, 41, 35, 32, 50, 29, 32, 41, 38, 35, 56, 44, 41, 50, 47, 44, 47, 41, 77, 74, 47, 50, 56, 59, 44, 74, 50, 35, 68, 62, 47, 50, 59, 41, 44, 50, 59, 53, 53, 44, 35, 68, 50, 62, 41, 47, 50, 56, 59, 29, 44, 77, 41, 59, 35, 35, 44, 71, 59, 38, 41, 38, 35]"
189,70,20,1,3,0,2023-05-03T21:45:12.4372926+03:00,"[50, 35, 35, 38, 35, 47, 32, 29, 50, 41, 38, 35, 35, 35, 47, 41, 44, 38, 38, 44, 35, 29, 32, 44, 44, 38, 44, 29, 65, 50, 38, 47, 47, 41, 86, 65, 98, 116, 41, 77, 65, 80, 62, 56, 89, 53, 77, 44, 68, 47, 65, 59, 53, 59, 56, 71, 50, 74, 59, 77, 59, 65, 62, 41, 80, 44, 59, 65, 56, 44, 59, 62, 47, 65, 47, 41, 68, 38, 32, 59, 65, 44, 74, 44, 41, 35, 29, 47]"
189,70,20,1,3,0,2023-05-03T21:45:17.8566739+03:00,"[32, 47, 41, 50, 23, 35, 44, 35, 35, 41, 47, 41, 53, 32, 32, 50, 35, 35, 38, 50, 35, 35, 41, 41, 35, 59, 74, 47, 53, 56, 50, 92, 77, 65, 53, 101, 104, 92, 89, 80, 86, 95, 101, 95, 65, 83, 95, 65, 80, 53, 50, 59, 65, 53, 83, 74, 53, 44, 53, 56, 47, 65, 53, 44, 68, 62, 56, 62, 56, 50, 56, 47, 44, 53, 59, 44, 50, 47, 59, 41, 62, 35]"
189,70,20,1,3,0,2023-05-03T21:45:23.341294+03:00,"[38, 26, 41, 44, 38, 41, 41, 41, 44, 35, 35, 38, 44, 38, 41, 38, 41, 65, 44, 50, 35, 47, 44, 38, 35, 56, 71, 38, 44, 50, 53, 53, 65, 53, 89, 62, 59, 101, 89, 38, 104, 77, 59, 71, 86, 89, 83, 68, 71, 83, 77, 56, 68, 59, 56, 56, 41, 62, 56, 41, 68, 68, 47, 47, 77, 50, 62, 50, 83, 38, 68, 65, 68, 41, 53, 47]"
189,70,20,1,3,0,2023-05-03T21:45:28.9586987+03:00,"[41, 50, 47, 29, 35, 44, 47, 47, 50, 35, 41, 38, 38, 35, 41, 35, 41, 44, 44, 32, 32, 29, 32, 44, 47, 44, 26, 35, 35, 56, 38, 50, 86, 86, 47, 74, 116, 71, 80, 74, 80, 50, 77, 56, 71, 80, 89, 86, 68, 53, 65, 56, 80, 92, 110, 65, 95, 86, 74, 68, 101, 38, 92, 65, 68, 77, 86, 68, 74, 59, 74, 62, 56, 101, 47, 80, 53, 86, 53, 86, 71, 92, 56, 74, 53, 50, 74]"
189,70,20,1,17,0,2023-05-03T23:04:34.3040448+03:00,"[53, 44, 47, 44, 47, 53, 53, 38, 59, 47, 50, 56, 47, 53, 44, 47, 50, 41, 44, 44, 47, 44, 41, 44, 53, 41, 44, 38, 47, 47, 44, 50, 44, 47, 62, 47, 50, 41, 56, 65, 50, 77, 65, 71, 71, 74, 80, 71, 68, 50, 65, 80, 44, 65, 62, 53, 56, 68, 50, 74, 56, 56, 62, 44, 50, 56, 44, 65, 47, 50, 62, 44, 41, 44, 47, 47, 53, 59, 44, 50, 44, 44, 47, 47, 56, 53, 35, 47, 50, 53, 35, 56, 56, 41, 35, 41, 44, 50, 38, 47]"
189,70,20,1,17,0,2023-05-03T23:04:57.5880082+03:00,"[41, 35, 35, 35, 32, 32, 38, 32, 44, 44, 23, 26, 38, 29, 35, 32, 35, 47, 38, 41, 32, 32, 32, 35, 32, 29, 35, 41, 26, 35, 32, 35, 32, 44, 47, 38, 38, 44, 44, 44, 35, 35, 38, 38, 32, 41, 50, 38, 38, 38, 38, 35, 44, 44, 35, 53, 29, 35, 47, 44, 44, 38, 26, 38, 35, 32, 35, 29, 41, 47, 47, 47, 29, 41, 44, 29, 38, 38, 44, 38, 32, 47, 38, 29, 41, 44, 38, 26, 29, 44, 44, 44, 44, 56, 44, 26, 38, 32, 38, 35]"
189,70,20,1,17,0,2023-05-03T23:05:04.2443845+03:00,"[50, 38, 35, 38, 38, 38, 44, 32, 32, 41, 41, 32, 29, 41, 35, 35, 41, 32, 35, 44, 32, 32, 35, 29, 41, 47, 38, 38, 41, 26, 32, 32, 35, 38, 32, 38, 35, 26, 41, 41, 41, 56, 62, 59, 65, 65, 62, 71, 74, 80, 74, 68, 74, 62, 56, 62, 59, 62, 74, 62, 80, 56, 65, 77, 59, 62, 62, 53, 65, 65, 50, 53, 74, 44, 62, 71, 50, 47, 47, 53, 47, 47, 59, 47, 47, 62, 50, 56, 47, 53, 50, 56, 53, 47, 53, 56, 50, 50, 50, 77, 47, 50, 53, 44, 41, 47, 56]"
189,70,20,1,17,0,2023-05-03T23:05:11.0846638+03:00,"[50, 53, 50, 44, 44, 56, 47, 44, 32, 38, 41, 38, 50, 38, 38, 41, 38, 38, 44, 35, 50, 47, 44, 35, 44, 38, 44, 50, 35, 35, 44, 44, 35, 32, 32, 35, 44, 38, 32, 32, 38, 32, 53, 47, 38, 41, 38, 35, 38, 44, 38, 56, 44, 59, 44, 59, 71, 77, 83, 83, 104, 119, 98, 104, 86, 125, 86, 92, 110, 110, 92, 98, 98, 107, 101, 104, 101, 116, 95, 113, 101, 89, 92, 116, 101, 95, 104, 107, 128, 107, 92, 92, 92, 107, 107, 107, 110, 107, 95, 77, 95, 113, 95, 98, 98, 92, 101, 86, 83, 83, 71, 56, 59, 47]"
189,70,20,1,17,0,2023-05-03T23:05:20.8214506+03:00,"[29, 47, 29, 41, 44, 38, 29, 35, 29, 35, 29, 35, 41, 38, 38, 44, 41, 38, 41, 44, 35, 32, 38, 35, 41, 41, 38, 38, 32, 38, 41, 44, 56, 47, 50, 38, 50, 59, 59, 62, 62, 56, 56, 56, 62, 53, 47, 56, 50, 59, 56, 47, 59, 50, 71, 62, 47, 62, 68, 56, 56, 56, 53, 44, 56, 65, 68, 47, 50, 65, 53, 62, 71, 47, 68, 53, 59, 56, 53, 50, 59, 65, 53, 50, 53, 47, 62, 50, 50, 44, 47, 59, 47, 65, 50, 59, 47]"
189,70,20,1,17,0,2023-05-03T23:05:33.375003+03:00,"[71, 68, 68, 80, 50, 71, 65, 68, 68, 65, 59, 59, 56, 77, 65, 47, 62, 62, 71, 98, 62, 62, 65, 62, 50, 74, 50, 71, 65, 71, 56, 50, 77, 80, 74, 95, 56, 101, 80, 80, 65, 74, 62, 71, 56, 47, 47, 44, 47, 50, 50, 41, 44, 53, 65, 65, 53, 56, 47, 59, 62, 65, 56, 56, 62, 68, 74, 65, 56, 65, 68, 62, 65, 62, 62, 62, 65, 59, 68, 62, 77, 71, 74, 68, 77, 59, 65, 74, 71, 77, 65, 77, 68, 62, 68, 80, 62, 80, 68, 80, 71, 65, 62, 74, 59, 74, 65, 83, 77, 59, 77, 83, 95, 71, 80, 56, 71, 74, 62, 62, 53]"
189,70,20,1,17,0,2023-05-03T23:05:45.5693169+03:00,"[35, 29, 35, 41, 41, 32, 44, 38, 35, 44, 29, 47, 35, 38, 32, 38, 32, 38, 38, 32, 44, 35, 44, 47, 35, 44, 47, 35, 29, 38, 38, 38, 53, 50, 47, 38, 83, 50, 41, 35, 32, 44, 53, 47, 44, 50, 50, 38, 50, 65, 59, 41, 68, 56, 59, 59, 53, 110, 92, 56, 65, 62, 65, 47, 59, 59, 68, 56, 56, 50, 50, 56, 47, 47, 44, 53, 56, 68, 50, 56, 56, 50, 56, 56, 56, 86, 59, 50, 59, 50, 65, 68, 56, 59, 56, 68, 44, 47, 59, 53, 65, 62, 53, 53, 65, 47, 56, 41, 47, 56, 53, 47, 59, 38]"
189,70,20,1,17,0,2023-05-03T23:05:56.5431539+03:00,"[35, 35, 53, 38, 41, 41, 35, 41, 32, 41, 29, 35, 32, 44, 41, 41, 35, 35, 41, 38, 35, 38, 35, 32, 38, 35, 44, 38, 47, 32, 32, 38, 38, 35, 38, 32, 35, 44, 32, 47, 44, 38, 41, 56, 47, 35, 32, 47, 50, 62, 65, 74, 71, 68, 86, 104, 104, 104, 122, 104, 95, 110, 104, 77, 86, 80, 104, 71, 89, 86, 77, 83, 65, 68, 71, 65, 74, 80, 80, 71, 98, 68, 86, 74, 62, 80, 95, 62, 68, 71, 92, 77, 68, 80, 74, 83, 77, 62, 68, 74, 74, 86, 62, 71, 104, 65, 62]"
